거래 #,타입,날짜 및 시간,신호,가격 USD,포지션 크기 (수량),포지션 크기 (가치),순손익 USD,순손익 %,유리한 변동 USD,유리한 변동 %,불리한 변동 USD,불리한 변동 %,누적 손익 USD,누적 손익 %
478,매도 진입,2023-07-05 13:10,S1,1924.815,200.9,386695.3335,0,0.00,10.05,0.00,-343.54,-0.09,-2540.36,-25.40
479,매도 청산,2023-07-05 15:00,XS2,1924.815,245.54,472841.2888,222.21,0.05,222.21,0.05,-197.66,-0.04,-2318.15,-23.18
479,매도 진입,2023-07-05 13:40,S2,1925.72,245.54,472841.2888,222.21,0.05,222.21,0.05,-197.66,-0.04,-2318.15,-23.18
480,매도 청산,2023-07-05 19:40,반대신호정리,1928.25,91.36,175713.6016,-451.32,-0.26,14.16,0.01,-576.02,-0.33,-2769.47,-27.69
480,매도 진입,2023-07-05 16:10,S1,1923.31,91.36,175713.6016,-451.32,-0.26,14.16,0.01,-576.02,-0.33,-2769.47,-27.69
481,매도 청산,2023-07-05 19:40,반대신호정리,1928.25,111.66,214978.998,-329.4,-0.15,4.47,0.00,-481.81,-0.22,-3098.87,-30.99
481,매도 진입,2023-07-05 16:40,S2,1925.3,111.66,214978.998,-329.4,-0.15,4.47,0.00,-481.81,-0.22,-3098.87,-30.99
482,매도 청산,2023-07-05 19:40,반대신호정리,1928.25,143.57,276701.0253,-137.83,-0.05,291.45,0.11,-333.8,-0.12,-3236.69,-32.37
482,매도 진입,2023-07-05 16:50,S3,1927.29,143.57,276701.0253,-137.83,-0.05,291.45,0.11,-333.8,-0.12,-3236.69,-32.37
483,매도 청산,2023-07-07 16:00,반대신호정리,1913.415,47.65,91054.62325,-119.6,-0.13,111.74,0.12,-218.95,-0.24,-3356.29,-33.56
483,매도 진입,2023-07-07 00:40,S1,1910.905,47.65,91054.62325,-119.6,-0.13,111.74,0.12,-218.95,-0.24,-3356.29,-33.56
484,매도 청산,2023-07-07 16:00,반대신호정리,1913.415,58.24,111513.2928,76,0.07,98.43,0.09,-45.43,-0.04,-3280.29,-32.80
484,매도 진입,2023-07-07 15:10,S2,1914.72,58.24,111513.2928,76,0.07,98.43,0.09,-45.43,-0.04,-3280.29,-32.80
485,매수 청산,2023-07-10 19:30,반대신호정리,1924.31,41.6,80191.904,-140.61,-0.18,69.68,0.09,-343.62,-0.43,-3420.9,-34.21
485,매수 진입,2023-07-08 01:00,L1,1927.69,41.6,80191.904,-140.61,-0.18,69.68,0.09,-343.62,-0.43,-3420.9,-34.21
486,매수 청산,2023-07-10 19:30,반대신호정리,1924.31,50.85,97800.822,50.34,0.05,186.11,0.19,-197.81,-0.20,-3370.56,-33.71
486,매수 진입,2023-07-10 09:10,L2,1923.32,50.85,97800.822,50.34,0.05,186.11,0.19,-197.81,-0.20,-3370.56,-33.71
487,매도 청산,2023-07-10 21:10,XS1,1922.11,94.2,181244.568,181.81,0.10,181.81,0.10,-166.26,-0.09,-3188.75,-31.89
487,매도 진입,2023-07-10 20:20,S1,1924.04,94.2,181244.568,181.81,0.10,181.81,0.10,-166.26,-0.09,-3188.75,-31.89
488,매도 청산,2023-07-11 07:20,반대신호정리,1925.17,48.54,93354.555,-93.2,-0.10,50.24,0.05,-176.2,-0.19,-3281.95,-32.82
488,매도 진입,2023-07-11 00:20,S1,1923.25,48.54,93354.555,-93.2,-0.10,50.24,0.05,-176.2,-0.19,-3281.95,-32.82
489,매수 청산,2023-07-11 13:20,XL1,1927.735,559.44,1077906.614,545.45,0.05,545.45,0.05,-165.03,-0.02,-2736.49,-27.36
489,매수 진입,2023-07-11 13:00,L1,1926.76,559.44,1077906.614,545.45,0.05,545.45,0.05,-165.03,-0.02,-2736.49,-27.36
490,매수 청산,2023-07-12 13:50,XL1,1938.72,374.88,726787.3536,0,0.00,438.61,0.06,-389.88,-0.05,-2736.49,-27.36
490,매수 진입,2023-07-12 12:10,L1,1938.72,374.88,726787.3536,0,0.00,438.61,0.06,-389.88,-0.05,-2736.49,-27.36
491,매수 청산,2023-07-12 13:50,XL2,1938.72,458.19,888079.8946,222.22,0.03,222.22,0.03,-254.3,-0.03,-2514.27,-25.14
491,매수 진입,2023-07-12 13:10,L2,1938.235,458.19,888079.8946,222.22,0.03,222.22,0.03,-254.3,-0.03,-2514.27,-25.14
492,매수 청산,2023-07-12 13:50,XL3,1938.72,589.1,1141528.525,571.43,0.05,571.43,0.05,-41.24,0.00,-1942.85,-19.43
492,매수 진입,2023-07-12 13:20,L3,1937.75,589.1,1141528.525,571.43,0.05,571.43,0.05,-41.24,0.00,-1942.85,-19.43
493,매수 청산,2023-07-14 04:30,반대신호정리,1960.335,49.74,97221.0579,286.01,0.29,455.12,0.47,-105.2,-0.11,-1656.84,-16.57
493,매수 진입,2023-07-12 23:30,L1,1954.585,49.74,97221.0579,286.01,0.29,455.12,0.47,-105.2,-0.11,-1656.84,-16.57
494,매수 청산,2023-07-14 14:40,XL1,1959.187,413.22,810675.657,-1100.4,-0.14,16.53,0.00,-1100.4,-0.14,-2757.24,-27.57
494,매수 진입,2023-07-14 13:10,L1,1961.85,413.22,810675.657,-1100.4,-0.14,16.53,0.00,-1100.4,-0.14,-2757.24,-27.57
495,매수 청산,2023-07-14 14:40,XL2,1959.187,505.05,990610.1205,-1122.73,-0.11,15.15,0.00,-1122.73,-0.11,-3879.97,-38.80
495,매수 진입,2023-07-14 13:10,L2,1961.41,505.05,990610.1205,-1122.73,-0.11,15.15,0.00,-1122.73,-0.11,-3879.97,-38.80
496,매수 청산,2023-07-14 14:40,XL2,1959.187,505.05,990487.3934,-1000,-0.10,132.83,0.01,-1000,-0.10,-4879.97,-48.80
496,매수 진입,2023-07-14 13:20,L2,1961.167,505.05,990487.3934,-1000,-0.10,132.83,0.01,-1000,-0.10,-4879.97,-48.80
497,매수 청산,2023-07-14 14:40,XL3,1959.187,649.35,1273198.077,-1000,-0.08,456.49,0.04,-1000,-0.08,-5879.97,-58.80
497,매수 진입,2023-07-14 13:20,L3,1960.727,649.35,1273198.077,-1000,-0.08,456.49,0.04,-1000,-0.08,-5879.97,-58.80
498,매수 청산,2023-07-14 14:40,XL4,1959.187,909.09,1782077.309,-1000,-0.06,975.45,0.05,-1000,-0.06,-6879.97,-68.80
498,매수 진입,2023-07-14 14:00,L4,1960.287,909.09,1782077.309,-1000,-0.06,975.45,0.05,-1000,-0.06,-6879.97,-68.80
499,매수 청산,2023-07-14 14:40,XL5,1959.187,1515.15,2969462.182,-1000,-0.03,2292.42,0.08,-1000,-0.03,-7879.97,-78.80
499,매수 진입,2023-07-14 14:00,L5,1959.847,1515.15,2969462.182,-1000,-0.03,2292.42,0.08,-1000,-0.03,-7879.97,-78.80
500,매수 청산,2023-07-14 14:40,XL6,1959.187,4545.45,8906386.548,-1000,-0.01,0,0.00,-1000,-0.01,-8879.97,-88.80
500,매수 진입,2023-07-14 14:40,L6,1959.407,4545.45,8906386.548,-1000,-0.01,0,0.00,-1000,-0.01,-8879.97,-88.80
501,매도 청산,2023-07-14 17:00,XS2,1958.21,138.79,271598.151,-181.81,-0.07,11.1,0.00,-181.81,-0.07,-9061.78,-90.62
501,매도 진입,2023-07-14 17:00,S1,1956.9,138.79,271598.151,-181.81,-0.07,11.1,0.00,-181.81,-0.07,-9061.78,-90.62
502,매도 청산,2023-07-14 17:00,XS2,1958.21,30.84,60391.1964,0,0.00,0,0.00,0,0.00,-9061.78,-90.62
502,매도 진입,2023-07-14 17:00,S2,1958.21,30.84,60391.1964,0,0.00,0,0.00,0,0.00,-9061.78,-90.62
503,매도 청산,2023-07-14 17:20,XS1,1956.485,138.79,271779.9659,239.41,0.09,239.41,0.09,-9.72,0.00,-8822.37,-88.22
503,매도 진입,2023-07-14 17:00,S2,1958.21,138.79,271779.9659,239.41,0.09,239.41,0.09,-9.72,0.00,-8822.37,-88.22
504,매도 청산,2023-07-14 21:30,XS1,1957.035,138.79,271616.8876,0,0.00,42.33,0.02,-800.12,-0.29,-8822.37,-88.22
504,매도 진입,2023-07-14 20:10,S1,1957.035,138.79,271616.8876,0,0.00,42.33,0.02,-800.12,-0.29,-8822.37,-88.22
505,매도 청산,2023-07-14 21:30,XS2,1957.035,169.63,332194.0624,222.22,0.07,222.22,0.07,-755.7,-0.23,-8600.15,-86.00
505,매도 진입,2023-07-14 20:20,S2,1958.345,169.63,332194.0624,222.22,0.07,222.22,0.07,-755.7,-0.23,-8600.15,-86.00
506,매도 청산,2023-07-14 21:30,XS3,1957.035,218.1,427400.7555,571.42,0.13,571.42,0.13,-685.92,-0.16,-8028.73,-80.29
506,매도 진입,2023-07-14 20:20,S3,1959.655,218.1,427400.7555,571.42,0.13,571.42,0.13,-685.92,-0.16,-8028.73,-80.29
507,매도 청산,2023-07-14 21:30,XS4,1957.035,305.34,598761.0531,1199.99,0.20,1199.99,0.20,-560.3,-0.09,-6828.74,-68.29
507,매도 진입,2023-07-14 21:20,S4,1960.965,305.34,598761.0531,1199.99,0.20,1199.99,0.20,-560.3,-0.09,-6828.74,-68.29
508,매도 청산,2023-07-14 21:30,XS5,1957.035,508.9,998601.7475,2666.64,0.27,2666.64,0.27,-267.17,-0.03,-4162.11,-41.62
508,매도 진입,2023-07-14 21:20,S5,1962.275,508.9,998601.7475,2666.64,0.27,2666.64,0.27,-267.17,-0.03,-4162.11,-41.62
509,매도 청산,2023-07-15 04:00,반대신호정리,1959.33,64.36,126116.638,14.16,0.01,150.92,0.12,-161.22,-0.13,-4147.95,-41.48
509,매도 진입,2023-07-14 23:50,S1,1959.55,64.36,126116.638,14.16,0.01,150.92,0.12,-161.22,-0.13,-4147.95,-41.48
510,매도 청산,2023-07-17 10:50,XS1,1952.7,98.81,192946.287,0,0.00,20.75,0.01,-328.05,-0.17,-4147.95,-41.48
510,매도 진입,2023-07-17 08:50,S1,1952.7,98.81,192946.287,0,0.00,20.75,0.01,-328.05,-0.17,-4147.95,-41.48
511,매도 청산,2023-07-17 10:50,XS2,1952.7,120.77,236049.7958,222.22,0.09,222.22,0.09,-178.74,-0.08,-3925.73,-39.26
511,매도 진입,2023-07-17 09:50,S2,1954.54,120.77,236049.7958,222.22,0.09,222.22,0.09,-178.74,-0.08,-3925.73,-39.26
512,매수 청산,2023-07-17 23:00,XL1,1951.2,84.76,165929.1426,-545.43,-0.33,160.2,0.10,-999.74,-0.60,-4471.16,-44.71
512,매수 진입,2023-07-17 19:50,L1,1957.635,84.76,165929.1426,-545.43,-0.33,160.2,0.10,-999.74,-0.60,-4471.16,-44.71
513,매수 청산,2023-07-17 23:00,XL2,1951.2,103.6,202588.764,-444.44,-0.22,41.96,0.02,-999.74,-0.49,-4915.61,-49.16
513,매수 진입,2023-07-17 21:20,L2,1955.49,103.6,202588.764,-444.44,-0.22,41.96,0.02,-999.74,-0.49,-4915.61,-49.16
514,매수 청산,2023-07-17 23:00,XL3,1951.2,133.2,260185.554,-285.71,-0.11,339.66,0.13,-999.67,-0.38,-5201.32,-52.01
514,매수 진입,2023-07-17 21:20,L3,1953.345,133.2,260185.554,-285.71,-0.11,339.66,0.13,-999.67,-0.38,-5201.32,-52.01
515,매수 청산,2023-07-17 23:00,XL4,1951.2,186.48,363859.776,0,0.00,225.64,0.06,-999.53,-0.27,-5201.32,-52.01
515,매수 진입,2023-07-17 21:40,L4,1951.2,186.48,363859.776,0,0.00,225.64,0.06,-999.53,-0.27,-5201.32,-52.01
516,매수 청산,2023-07-17 23:00,XL5,1951.2,310.8,605766.294,666.67,0.11,823.62,0.14,-999.22,-0.16,-4534.66,-45.35
516,매수 진입,2023-07-17 21:40,L5,1949.055,310.8,605766.294,666.67,0.11,823.62,0.14,-999.22,-0.16,-4534.66,-45.35
517,매수 청산,2023-07-17 23:00,XL6,1951.2,932.4,1815298.884,4000,0.22,4000,0.22,-997.67,-0.05,-534.66,-5.35
517,매수 진입,2023-07-17 22:30,L6,1946.91,932.4,1815298.884,4000,0.22,4000,0.22,-997.67,-0.05,-534.66,-5.35
518,매수 청산,2023-07-18 14:20,XL1,1961.37,378.78,742382.2854,545.44,0.07,545.44,0.07,-96.59,-0.01,10.78,0.11
518,매수 진입,2023-07-18 13:50,L1,1959.93,378.78,742382.2854,545.44,0.07,545.44,0.07,-96.59,-0.01,10.78,0.11
519,매도 청산,2023-07-20 04:50,반대신호정리,1978.195,52.7,104127.822,-123.05,-0.12,0,0.00,-165.74,-0.16,-112.27,-1.12
519,매도 진입,2023-07-20 01:40,S1,1975.86,52.7,104127.822,-123.05,-0.12,0,0.00,-165.74,-0.16,-112.27,-1.12
520,매수 청산,2023-07-20 21:40,XL1,1973.682,83.98,166749.8482,-1000.03,-0.60,39.05,0.02,-1000.03,-0.60,-1112.3,-11.12
520,매수 진입,2023-07-20 12:40,L1,1985.59,83.98,166749.8482,-1000.03,-0.60,39.05,0.02,-1000.03,-0.60,-1112.3,-11.12
521,매수 청산,2023-07-20 21:40,XL2,1973.682,102.64,203578.742,-1000.02,-0.49,70.82,0.03,-1000.02,-0.49,-2112.33,-21.12
521,매수 진입,2023-07-20 14:20,L2,1983.425,102.64,203578.742,-1000.02,-0.49,70.82,0.03,-1000.02,-0.49,-2112.33,-21.12
522,매수 청산,2023-07-20 21:40,XL3,1973.682,131.96,261447.0696,-999.99,-0.38,350.35,0.13,-999.99,-0.38,-3112.32,-31.12
522,매수 진입,2023-07-20 14:40,L3,1981.26,131.96,261447.0696,-999.99,-0.38,350.35,0.13,-999.99,-0.38,-3112.32,-31.12
523,매수 청산,2023-07-20 21:40,XL4,1973.682,184.75,365637.8013,-1000.05,-0.27,890.5,0.24,-1000.05,-0.27,-4112.37,-41.12
523,매수 진입,2023-07-20 15:10,L4,1979.095,184.75,365637.8013,-1000.05,-0.27,890.5,0.24,-1000.05,-0.27,-4112.37,-41.12
524,매수 청산,2023-07-20 21:40,XL5,1973.682,307.92,608736.2856,-1000.12,-0.16,103.15,0.02,-1000.12,-0.16,-5112.49,-51.12
524,매수 진입,2023-07-20 21:30,L5,1976.93,307.92,608736.2856,-1000.12,-0.16,103.15,0.02,-1000.12,-0.16,-5112.49,-51.12
525,매수 청산,2023-07-20 21:40,XL6,1973.682,923.78,1824248.412,-1000.45,-0.05,2309.45,0.13,-1000.45,-0.05,-6112.95,-61.13
525,매수 진입,2023-07-20 21:30,L6,1974.765,923.78,1824248.412,-1000.45,-0.05,2309.45,0.13,-1000.45,-0.05,-6112.95,-61.13
526,매도 청산,2023-07-21 21:30,XS1,1963.905,101.85,200023.7242,0,0.00,167.03,0.08,-435.92,-0.22,-6112.95,-61.13
526,매도 진입,2023-07-21 20:00,S1,1963.905,101.85,200023.7242,0,0.00,167.03,0.08,-435.92,-0.22,-6112.95,-61.13
527,매도 청산,2023-07-21 21:30,XS2,1963.905,124.49,244708.7481,222.21,0.09,222.21,0.09,-310.6,-0.13,-5890.73,-58.91
527,매도 진입,2023-07-21 20:40,S2,1965.69,124.49,244708.7481,222.21,0.09,222.21,0.09,-310.6,-0.13,-5890.73,-58.91
528,매도 청산,2023-07-21 21:30,XS3,1963.905,160.06,314914.0485,571.41,0.18,571.41,0.18,-113.64,-0.04,-5319.32,-53.19
528,매도 진입,2023-07-21 21:20,S3,1967.475,160.06,314914.0485,571.41,0.18,571.41,0.18,-113.64,-0.04,-5319.32,-53.19
529,매도 청산,2023-07-24 14:30,XS1,1960.67,153.43,300825.5981,0,0.00,78.25,0.03,-229.38,-0.08,-5319.32,-53.19
529,매도 진입,2023-07-24 13:50,S1,1960.67,153.43,300825.5981,0,0.00,78.25,0.03,-229.38,-0.08,-5319.32,-53.19
530,매도 청산,2023-07-24 14:30,XS2,1960.67,187.52,367887.0496,222.21,0.06,222.21,0.06,-58.13,-0.02,-5097.11,-50.97
530,매도 진입,2023-07-24 14:10,S2,1961.855,187.52,367887.0496,222.21,0.06,222.21,0.06,-58.13,-0.02,-5097.11,-50.97
531,매수 청산,2023-07-24 20:30,XL1,1967.115,69.26,136060.5774,181.81,0.13,181.81,0.13,-40.17,-0.03,-4915.3,-49.15
531,매수 진입,2023-07-24 19:30,L1,1964.49,69.26,136060.5774,181.81,0.13,181.81,0.13,-40.17,-0.03,-4915.3,-49.15
532,매수 청산,2023-07-24 21:30,XL1,1967.665,69.26,136098.6704,181.81,0.13,181.81,0.13,-72.03,-0.05,-4733.49,-47.33
532,매수 진입,2023-07-24 21:00,L1,1965.04,69.26,136098.6704,181.81,0.13,181.81,0.13,-72.03,-0.05,-4733.49,-47.33
533,매도 청산,2023-07-25 04:10,XS1,1953.735,86.16,168879.2004,545.39,0.32,545.39,0.32,-121.05,-0.07,-4188.1,-41.88
533,매도 진입,2023-07-25 01:40,S1,1960.065,86.16,168879.2004,545.39,0.32,545.39,0.32,-121.05,-0.07,-4188.1,-41.88
534,매도 청산,2023-07-25 13:50,반대신호정리,1961.15,86.16,168430.3068,-542.38,-0.32,135.27,0.08,-755.62,-0.45,-4730.48,-47.30
534,매도 진입,2023-07-25 05:20,S1,1954.855,86.16,168430.3068,-542.38,-0.32,135.27,0.08,-755.62,-0.45,-4730.48,-47.30
535,매도 청산,2023-07-25 13:50,반대신호정리,1961.15,105.31,206087.9842,-440.72,-0.21,19.48,0.01,-701.36,-0.34,-5171.2,-51.71
535,매도 진입,2023-07-25 10:00,S2,1956.965,105.31,206087.9842,-440.72,-0.21,19.48,0.01,-701.36,-0.34,-5171.2,-51.71
536,매도 청산,2023-07-25 13:50,반대신호정리,1961.15,135.4,265258.755,-280.95,-0.11,3.39,0.00,-616.07,-0.23,-5452.16,-54.52
536,매도 진입,2023-07-25 10:20,S3,1959.075,135.4,265258.755,-280.95,-0.11,3.39,0.00,-616.07,-0.23,-5452.16,-54.52
537,매도 청산,2023-07-25 13:50,반대신호정리,1961.15,189.57,371781.8404,6.63,0.00,158.29,0.04,-462.55,-0.12,-5445.52,-54.46
537,매도 진입,2023-07-25 10:30,S4,1961.185,189.57,371781.8404,6.63,0.00,158.29,0.04,-462.55,-0.12,-5445.52,-54.46
538,매도 청산,2023-07-25 13:50,반대신호정리,1961.15,315.95,620303.0552,677.71,0.11,688.77,0.11,-104.26,-0.02,-4767.81,-47.68
538,매도 진입,2023-07-25 11:40,S5,1963.295,315.95,620303.0552,677.71,0.11,688.77,0.11,-104.26,-0.02,-4767.81,-47.68
539,매수 청산,2023-07-25 17:40,XL1,1962.72,183.65,360453.528,0,0.00,272.72,0.08,-607.88,-0.17,-4767.81,-47.68
539,매수 진입,2023-07-25 15:20,L1,1962.72,183.65,360453.528,0,0.00,272.72,0.08,-607.88,-0.17,-4767.81,-47.68
540,매수 청산,2023-07-25 17:40,XL2,1962.72,224.46,440329.9158,222.22,0.05,241.29,0.05,-520.75,-0.12,-4545.59,-45.46
540,매수 진입,2023-07-25 16:00,L2,1961.73,224.46,440329.9158,222.22,0.05,241.29,0.05,-520.75,-0.12,-4545.59,-45.46
541,매수 청산,2023-07-25 17:40,XL3,1962.72,288.6,565869.564,571.43,0.10,571.43,0.10,-383.84,-0.07,-3974.16,-39.74
541,매수 진입,2023-07-25 16:20,L3,1960.74,288.6,565869.564,571.43,0.10,571.43,0.10,-383.84,-0.07,-3974.16,-39.74
542,매수 청산,2023-07-25 17:40,XL4,1962.72,404.04,791817.39,1200,0.15,1200,0.15,-137.37,-0.02,-2774.17,-27.74
542,매수 진입,2023-07-25 17:10,L4,1959.75,404.04,791817.39,1200,0.15,1200,0.15,-137.37,-0.02,-2774.17,-27.74
543,매수 청산,2023-07-25 21:00,XL1,1962.215,84.96,166709.7864,0,0.00,47.58,0.03,-768.46,-0.46,-2774.17,-27.74
543,매수 진입,2023-07-25 18:40,L1,1962.215,84.96,166709.7864,0,0.00,47.58,0.03,-768.46,-0.46,-2774.17,-27.74
544,매수 청산,2023-07-25 21:00,XL2,1962.215,103.84,203534.188,222.22,0.11,222.22,0.11,-717.02,-0.35,-2551.95,-25.52
544,매수 진입,2023-07-25 19:50,L2,1960.075,103.84,203534.188,222.22,0.11,222.22,0.11,-717.02,-0.35,-2551.95,-25.52
545,매수 청산,2023-07-25 21:00,XL3,1962.215,133.51,261403.9018,571.42,0.22,571.42,0.22,-636.18,-0.24,-1980.52,-19.81
545,매수 진입,2023-07-25 20:00,L3,1957.935,133.51,261403.9018,571.42,0.22,571.42,0.22,-636.18,-0.24,-1980.52,-19.81
546,매수 청산,2023-07-25 21:00,XL4,1962.215,186.91,365557.6435,1199.96,0.33,1199.96,0.33,-490.64,-0.13,-780.56,-7.81
546,매수 진입,2023-07-25 20:10,L4,1955.795,186.91,365557.6435,1199.96,0.33,1199.96,0.33,-490.64,-0.13,-780.56,-7.81
547,매수 청산,2023-07-25 21:00,XL5,1962.215,311.52,608602.6056,2666.61,0.44,2666.61,0.44,-151.09,-0.02,1886.05,18.86
547,매수 진입,2023-07-25 20:20,L5,1953.655,311.52,608602.6056,2666.61,0.44,2666.61,0.44,-151.09,-0.02,1886.05,18.86
548,매수 청산,2023-07-27 00:20,XL1,1974.985,52.02,102193.29,545.43,0.53,545.43,0.53,-126.67,-0.12,2431.48,24.31
548,매수 진입,2023-07-26 05:00,L1,1964.5,52.02,102193.29,545.43,0.53,545.43,0.53,-126.67,-0.12,2431.48,24.31
549,매수 청산,2023-07-27 11:00,XL1,1979.205,51.8,101977.365,545.45,0.53,545.45,0.53,-158.77,-0.16,2976.93,29.77
549,매수 진입,2023-07-27 02:10,L1,1968.675,51.8,101977.365,545.45,0.53,545.45,0.53,-158.77,-0.16,2976.93,29.77
550,매수 청산,2023-07-27 15:30,XL1,1977.15,90.68,179287.962,0,0.00,149.62,0.08,-273.4,-0.15,2976.93,29.77
550,매수 진입,2023-07-27 12:50,L1,1977.15,90.68,179287.962,0,0.00,149.62,0.08,-273.4,-0.15,2976.93,29.77
551,매수 청산,2023-07-27 15:30,XL2,1977.15,110.83,218905.3203,222.21,0.10,222.21,0.10,-111.94,-0.05,3199.15,31.99
551,매수 진입,2023-07-27 14:40,L2,1975.145,110.83,218905.3203,222.21,0.10,222.21,0.10,-111.94,-0.05,3199.15,31.99
552,매수 청산,2023-07-27 18:10,XL1,1978.125,98.54,194742.6312,181.81,0.09,181.81,0.09,-163.08,-0.08,3380.95,33.81
552,매수 진입,2023-07-27 17:40,L1,1976.28,98.54,194742.6312,181.81,0.09,181.81,0.09,-163.08,-0.08,3380.95,33.81
553,매도 청산,2023-07-28 18:10,반대신호정리,1949.29,22.62,44003.1384,-89.8,-0.20,60.51,0.14,-260.47,-0.59,3291.15,32.91
553,매도 진입,2023-07-28 00:40,S1,1945.32,22.62,44003.1384,-89.8,-0.20,60.51,0.14,-260.47,-0.59,3291.15,32.91
554,매도 청산,2023-07-28 18:10,반대신호정리,1949.29,27.65,54010.26575,112.4,0.21,151.25,0.28,-96.22,-0.18,3403.55,34.04
554,매도 진입,2023-07-28 12:00,S2,1953.355,27.65,54010.26575,112.4,0.21,151.25,0.28,-96.22,-0.18,3403.55,34.04
555,매수 청산,2023-07-28 22:30,XL1,1955.525,89.78,175385.23,181.8,0.10,286.85,0.16,-4.04,0.00,3585.35,35.85
555,매수 진입,2023-07-28 22:10,L1,1953.5,89.78,175385.23,181.8,0.10,286.85,0.16,-4.04,0.00,3585.35,35.85
556,매수 청산,2023-08-01 13:00,반대신호정리,1962.265,55.77,109698.4746,-262.96,-0.24,300.04,0.27,-442.81,-0.40,3322.4,33.22
556,매수 진입,2023-07-31 23:30,L1,1966.98,55.77,109698.4746,-262.96,-0.24,300.04,0.27,-442.81,-0.40,3322.4,33.22
557,매수 청산,2023-08-01 13:00,반대신호정리,1962.265,68.16,133847.1552,-99.17,-0.07,29.65,0.02,-318.99,-0.24,3223.22,32.23
557,매수 진입,2023-08-01 09:20,L2,1963.72,68.16,133847.1552,-99.17,-0.07,29.65,0.02,-318.99,-0.24,3223.22,32.23
558,매수 청산,2023-08-01 13:00,반대신호정리,1962.265,87.64,171814.7144,158.19,0.09,208.58,0.12,-124.45,-0.07,3381.41,33.81
558,매수 진입,2023-08-01 11:00,L3,1960.46,87.64,171814.7144,158.19,0.09,208.58,0.12,-124.45,-0.07,3381.41,33.81
559,매도 청산,2023-08-01 20:10,XS1,1954.065,97.22,190156.0007,181.8,0.10,181.8,0.10,-178.4,-0.09,3563.22,35.63
559,매도 진입,2023-08-01 17:20,S1,1955.935,97.22,190156.0007,181.8,0.10,181.8,0.10,-178.4,-0.09,3563.22,35.63
560,매도 청산,2023-08-01 23:00,XS1,1946.61,97.22,189431.2256,181.8,0.10,386.45,0.20,-533.25,-0.28,3745.02,37.45
560,매도 진입,2023-08-01 22:30,S1,1948.48,97.22,189431.2256,181.8,0.10,386.45,0.20,-533.25,-0.28,3745.02,37.45
561,매도 청산,2023-08-01 23:00,XS2,1946.61,118.83,231760.0905,444.42,0.19,444.42,0.19,-429.57,-0.19,4189.44,41.89
561,매도 진입,2023-08-01 23:00,S2,1950.35,118.83,231760.0905,444.42,0.19,444.42,0.19,-429.57,-0.19,4189.44,41.89
562,매도 청산,2023-08-01 23:00,XS3,1946.61,152.78,298260.1716,857.1,0.29,857.1,0.29,-266.6,-0.09,5046.54,50.47
562,매도 진입,2023-08-01 23:00,S3,1952.22,152.78,298260.1716,857.1,0.29,857.1,0.29,-266.6,-0.09,5046.54,50.47
563,매도 청산,2023-08-03 21:10,반대신호정리,1932.625,65.28,126523.0848,361.32,0.29,471,0.37,-65.61,-0.05,5407.86,54.08
563,매도 진입,2023-08-03 01:10,S1,1938.16,65.28,126523.0848,361.32,0.29,471,0.37,-65.61,-0.05,5407.86,54.08
564,매도 청산,2023-08-04 11:30,반대신호정리,1935.425,36.65,70871.2045,-62.12,-0.09,9.53,0.01,-158.51,-0.22,5345.74,53.46
564,매도 진입,2023-08-04 04:40,S1,1933.73,36.65,70871.2045,-62.12,-0.09,9.53,0.01,-158.51,-0.22,5345.74,53.46
565,매도 청산,2023-08-07 16:40,XS1,1935.68,166.04,321669.292,268.98,0.08,297.21,0.09,-22.42,-0.01,5614.73,56.15
565,매도 진입,2023-08-07 16:20,S1,1937.3,166.04,321669.292,268.98,0.08,297.21,0.09,-22.42,-0.01,5614.73,56.15
566,매도 청산,2023-08-07 22:30,XS1,1938.925,166.04,322120.9208,181.81,0.06,181.81,0.06,-290.57,-0.09,5796.54,57.97
566,매도 진입,2023-08-07 22:10,S1,1940.02,166.04,322120.9208,181.81,0.06,181.81,0.06,-290.57,-0.09,5796.54,57.97
567,매도 청산,2023-08-07 22:30,XS2,1938.925,202.94,393929.8781,444.44,0.11,444.44,0.11,-132.93,-0.03,6240.98,62.41
567,매도 진입,2023-08-07 22:20,S2,1941.115,202.94,393929.8781,444.44,0.11,444.44,0.11,-132.93,-0.03,6240.98,62.41
568,매도 청산,2023-08-08 09:10,반대신호정리,1936.195,71.58,138505.8684,-86.97,-0.06,59.05,0.04,-227.27,-0.16,6154.01,61.54
568,매도 진입,2023-08-08 02:10,S1,1934.98,71.58,138505.8684,-86.97,-0.06,59.05,0.04,-227.27,-0.16,6154.01,61.54
569,매도 청산,2023-08-08 09:10,반대신호정리,1936.195,87.48,169494.2496,115.91,0.07,159.65,0.09,-55.55,-0.03,6269.92,62.70
569,매도 진입,2023-08-08 04:10,S2,1937.52,87.48,169494.2496,115.91,0.07,159.65,0.09,-55.55,-0.03,6269.92,62.70
570,매수 청산,2023-08-09 15:40,XL1,1930.73,343.05,662035.0425,301.88,0.05,471.69,0.07,-403.08,-0.06,6571.8,65.72
570,매수 진입,2023-08-09 15:20,L1,1929.85,343.05,662035.0425,301.88,0.05,471.69,0.07,-403.08,-0.06,6571.8,65.72
571,매수 청산,2023-08-09 15:40,XL2,1930.73,419.28,808925.2896,591.18,0.07,798.73,0.10,-270.44,-0.03,7162.99,71.63
